"File","If","Elseif","Else","Endif","MatchStatus"
"C:\xampp\htdocs\kkn-app\resources\views\dashboard_admin.blade.php","2","0","2","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\detail_periode.blade.php","0","0","0","0","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\login.blade.php","1","0","0","1","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\welcome.blade.php","2","0","1","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\apl\create.blade.php","2","0","0","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\apl\detail.blade.php","0","0","0","0","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\apl\edit.blade.php","2","0","0","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\apl\hasil.blade.php","2","0","0","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\apl\index.blade.php","2","0","0","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\dpl\create.blade.php","2","0","0","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\dpl\detail.blade.php","0","0","0","0","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\dpl\edit.blade.php","2","0","0","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\dpl\hasil.blade.php","0","0","0","0","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\dpl\index.blade.php","2","0","0","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\import\index.blade.php","2","0","0","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\import\preview.blade.php","2","0","0","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\kelompok\create.blade.php","2","0","0","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\kelompok\edit.blade.php","2","0","0","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\kelompok\export_pdf.blade.php","0","0","0","0","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\kelompok\export_pdf_periode.blade.php","0","0","0","0","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\kelompok\hasil_pembagian.blade.php","13","0","5","13","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\kelompok\index.blade.php","2","0","0","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\kelompok\randomisasi.blade.php","0","0","0","0","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\layouts\app.blade.php","1","3","0","1","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\layouts\sidebar_admin.blade.php","0","0","0","0","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\layouts\sidebar_apl.blade.php","0","0","0","0","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\layouts\sidebar_dpl.blade.php","0","0","0","0","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\layouts\sidebar_peserta.blade.php","0","0","0","0","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\log\index.blade.php","0","0","0","0","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\periode\create.blade.php","2","0","0","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\periode\edit.blade.php","2","0","0","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\periode\index.blade.php","3","0","1","3","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\peserta\hasil.blade.php","2","0","1","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\peserta\pindah.blade.php","2","0","0","2","VALID"
"C:\xampp\htdocs\kkn-app\resources\views\peserta\tukar.blade.php","2","0","0","2","VALID"
